dataset,item,author_code,author_dln,coder1_code,coder1_confidence,coder1_rationale,coder1_agree_author,coder2_code,coder2_confidence,coder2_rationale,coder2_agree_author
Webb,situation_selection,A,dot,A,Medium,Webb's operationalization refers to reactive avoidance (stimulus-driven withdrawal) rather than deliberate planning.,True,A,high,Webb's operationalization refers to reactive avoidance rather than deliberate planning,True
Webb,concentration,A,dot,A,High,Webb's operationalization refers to rumination (stimulus-driven fixation on emotional content) rather than deliberate attentional control.,True,A,high,Webb's operationalization refers to rumination (stimulus-driven) rather than deliberate attentional control,True
Webb,situation_modification,B,linear,C,High,The situation modification might require flexible integration of information to manage related elements such as people and resources.,False,B,medium,Structured actions to change situation features to manage emotion,True
Webb,distraction,B,linear,B,Medium,The distraction redirects the attentional process and involves more than stimulus-driven responding.,True,B,high,Rule-based attentional shift,True
Webb,expressive_suppression,B,linear,B,High,The expressive suppression is the result of controlled processing.,True,B,medium,Rule-based control of (emotional) response,True
Webb,other_modulation,B,linear,B,Low,"The ""other"" is vague. I classified it as B under the assumption that it relates to bodily/action adjustment, but it could also fit the other two categories.",True,B,medium,Typically involves applying a procedure; limited integrative meaning-making,True
Webb,reappraisal,C,network,C,High,Reappraisal requires re-interpreting meaning and relating emotional information to make an adjustment.,True,C,high,Reappraises a experience or some situations requires integration of emotion with context,True
Webb,perspective_taking,C,network,C,High,Perspectives taking requires the person to increase understanding across multiple views and broaden recognition.,True,C,high,"Requires having multiple viewpoints to re-interpret the context of the emotional event; relational, meaning-focused processing",True
Webb,other_cognitive,C,network,C,Medium,"The ""Other"" can be vague to decide, but the change is commonly influenced by multiple factors.",True,C,medium,Cognitive changes typically involve reappraising meaning beyond following a rule,True
Webb,acceptance,C,network,B,Medium,"The acceptance can be managed through rule-based processing and practice, regardless of whether it is effective.",False,C,medium,Changing someone’s attitudes or judgements requires a meta-cognitive shifting; rather than just suppressing it,True
Hoyt,biological_physiological,A,dot,A,High,The biomarkers can be captured directly through bodily responses or single-level behaviors.,True,A,high,Direct physiological measurement; no cognitive mediation required from the participant,True
Hoyt,physical_health,A,dot,A,High,"The self-report, functional status and pain can reflect bodily state.",True,A,high,Self-reported somatic measurement of bodily state; no cognitive mediation,True
Hoyt,behavioral,A,dot,A,HIgh,"The behaviors such as  exercise, adherence and sleep are clear actions, and the status can generally be understood through self-report.",True,A,high,Concrete action-level behaviour measurement; no cognitive mediation,True
Hoyt,mental_emotional_distress,B,linear,B,High,"The severity of mental/emotional distress, such as depression and anxiety, can be evaluated using a single scale at each time point.",True,B,high,Single-dimension severity rating about mental distress; compartmentalised symptom scale,True
Hoyt,risk_related_adjustment,B,linear,B,Medium,The symptons such as avoidance can be measured primarily on a single dimension and do not require responses across multiple life domains.,True,B,medium,Trauma/ stress-related symptom severity measurement; limited contextual integration,True
Hoyt,positive_psychological_health,C,network,C,High,The condition of well-being and life satisfaction are socially related and require further clarification across different social contexts and backgrounds.,True,C,high,Global psychological factors evaluation requires participant to evaluate and integrate affect with broader life context,True
Hoyt,social_functioning,C,network,C,High,Relationship quality and social support require more information from multiple scenarios.,True,C,high,Inherently relational evaluation; requires integration of emotional and social context,True
Hoyt,resilience_adjustment,C,network,C,High,"The post-traumatic growth requires further evaluation across multiple dimensions, such as narrative and cognition.",True,C,high,Meaning-making evaluation requires integrative appraisal of experience and contextual and existential integration,True
Greenwald,consumer,A,dot,A,High,Snap purchase decisions and approach-avoidance responses are immediate stimulus-driven reactions with minimal deliberation.,True,A,high,Consumer judgments are reactive; low deliberation; stimulus-bound approach-avoidance,True
Greenwald,race_black_white,B,linear,B,High,Intergroup discrimination under social desirability pressure suppresses explicit-implicit alignment.,True,B,high,Intergroup behavior with strong social-desirability pressure; rule-governed self-monitoring,True
Greenwald,politics,B,linear,B,High,Political behavior under social scrutiny involves self-regulated responses shaped by norms and identity.,True,B,high,Social identity and normative pressure create explicit-implicit divergence,True
Greenwald,gender_sex,B,linear,B,High,Gender-related intergroup behavior is subject to social desirability and normative self-monitoring.,True,B,high,Intergroup discrimination with social desirability pressure,True
Greenwald,other_intergroup,B,linear,B,Medium,Intergroup discrimination involves rule-governed self-monitoring under normative pressure.,True,B,medium,Intergroup behavior; self-regulated responding under social norms,True
Greenwald,relationships,C,network,C,High,Close-relationship dynamics require sustained relational engagement and context-dependent integration.,True,C,high,Sustained relational engagement; integrative self-knowledge across social contexts,True
Greenwald,personality,M,mixed_unclear,M,Medium,"Personality spans trait-automatic (dot-like) and self-awareness (network-like) processes, making classification ambiguous.",True,M,medium,Spans reactive trait expression and integrative self-knowledge; not clearly one stage,True
Greenwald,drugs_tobacco,M,mixed_unclear,M,Medium,Clinical/health criterion behaviors vary by specific measure; some are reactive (craving) while others are deliberative (cessation).,True,M,medium,Heterogeneous criteria; addictive behavior spans automatic craving and deliberate health decisions,True
Greenwald,clinical,M,mixed_unclear,M,Medium,"Clinical criteria range from phobic avoidance (dot-like) to health behavior (linear-like), preventing clear classification.",True,M,medium,Mixed clinical criteria; phobic reactions are automatic but health behaviors are rule-governed,True
